Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
47    47    1527327126681001682    0.270600    0.264963    0.265150    1.000000    1.000000    1.000000    0.814923    0.814923    0.854394
48    48    1527327130460530495    0.270475    0.264955    0.264583    1.000000    1.000000    1.000000    0.814586    0.814586    0.798789
49    49    1527327134234643447    0.270362    0.264955    0.264963    1.000000    1.000000    1.000000    0.814299    0.814299    0.800491
50    50    1527327137995752807    0.270273    0.264973    0.265879    1.000000    1.000000    1.000000    0.814048    0.814048    0.801722
51    51    1527327141783303475    0.270150    0.264937    0.264023    1.000000    1.000000    1.000000    0.814785    0.815213    0.851488
52    52    1527327145535770190    0.270080    0.264975    0.266491    1.000000    1.000000    1.000000    0.814574    0.814325    0.803756
53    53    1527327149317210832    0.269973    0.264969    0.264449    1.000000    1.000000    1.000000    0.814243    0.814362    0.797072
54    54    1527327153091827199    0.269880    0.264966    0.264928    1.000000    1.000000    1.000000    0.815002    0.815545    0.855247
55    55    1527327156847968238    0.269814    0.264999    0.266231    1.000000    1.000000    1.000000    0.814773    0.814582    0.802354
56    56    1527327160641307933    0.269703    0.264937    0.263620    1.000000    1.000000    1.000000    0.814416    0.814467    0.794833
57    57    1527327164418891293    0.269615    0.264888    0.264720    1.000000    1.000000    1.000000    0.814108    0.814324    0.796901
58    58    1527327168195570321    0.269532    0.264871    0.264783    1.000000    1.000000    1.000000    0.814804    0.815410    0.854448
59    59    1527327171981560035    0.269440    0.264843    0.264132    1.000000    1.000000    1.000000    0.814507    0.815373    0.797344
60    60    1527327175754789197    0.269366    0.264801    0.265025    1.000000    1.000000    1.000000    0.814264    0.814124    0.799920
61    61    1527327179523926579    0.269300    0.264807    0.265313    1.000000    1.000000    1.000000    0.814984    0.815333    0.858250
62    62    1527327183280522075    0.269250    0.264872    0.266198    1.000000    1.000000    1.000000    0.814778    0.815530    0.802111
63    63    1527327187067106954    0.269168    0.264856    0.264090    1.000000    1.000000    1.000000    0.814492    0.814385    0.796847
64    64    1527327190860107483    0.269081    0.264811    0.263644    1.000000    1.000000    1.000000    0.815072    0.815397    0.851458
65    65    1527327194616482646    0.269037    0.264825    0.266214    1.000000    1.000000    1.000000    0.814863    0.815434    0.801407
66    66    1527327198364965288    0.269003    0.264845    0.266775    1.000000    1.000000    1.000000    0.814686    0.815490    0.803118
67    67    1527327202131833633    0.268951    0.264887    0.265473    1.000000    1.000000    1.000000    0.814453    0.814461    0.798989
68    68    1527327205889568710    0.268909    0.264921    0.266118    1.000000    1.000000    1.000000    0.814277    0.814560    0.802446
69    69    1527327209652097441    0.268864    0.264987    0.265779    1.000000    1.000000    1.000000    0.814893    0.815856    0.856920
70    70    1527327213403909283    0.268831    0.265057    0.266538    1.000000    1.000000    1.000000    0.814740    0.814946    0.804094
71    71    1527327217156155665    0.268798    0.265131    0.266507    1.000000    1.000000    1.000000    0.814587    0.815192    0.803874
72    72    1527327220945099663    0.268731    0.265107    0.263926    1.000000    1.000000    1.000000    0.814318    0.815065    0.795257
73    73    1527327224717197620    0.268681    0.265132    0.265104    1.000000    1.000000    1.000000    0.814874    0.815138    0.854902
74    74    1527327228480139350    0.268641    0.265168    0.265750    1.000000    1.000000    1.000000    0.814677    0.815264    0.800264
75    75    1527327232251737767    0.268595    0.265191    0.265140    1.000000    1.000000    1.000000    0.814458    0.815331    0.798244
76    76    1527327236014803372    0.268557    0.265209    0.265741    1.000000    1.000000    1.000000    0.814301    0.814278    0.802511
77    77    1527327239798009425    0.268502    0.265199    0.264326    1.000000    1.000000    1.000000    0.814856    0.815416    0.856909
78    78    1527327243574654288    0.268454    0.265162    0.264785    1.000000    1.000000    1.000000    0.814769    0.815484    0.808074
79    79    1527327247333345445    0.268424    0.265192    0.266050    1.000000    1.000000    1.000000    0.814617    0.814452    0.802717
80    80    1527327251122683025    0.268367    0.265168    0.263898    1.000000    1.000000    1.000000    0.815094    0.815493    0.852644
81    81    1527327254906747660    0.268316    0.265130    0.264266    1.000000    1.000000    1.000000    0.814871    0.815379    0.797062
82    82    1527327258669064600    0.268286    0.265166    0.265794    1.000000    1.000000    1.000000    0.814718    0.815504    0.802288
83    83    1527327262433898159    0.268254    0.265181    0.265616    1.000000    1.000000    1.000000    0.814550    0.814404    0.800797
